"Species2","Sahara","Arabian","Thar","Gobi","Chihuahuan","Great_Basin","Kalahari","Atacama","Patagonian","Great_Australian","Family2","Order2","Avibase.ID2","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
"Phylloscopus neglectus",0,1,1,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-116192F7",5,2,3,0,4,9.2,4.6,2,2.1,16.7,48.6,7.5,42,15.2,39.3,5.3,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus nitidus",0,1,1,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-3542C46B",5,2,3,0,4,12.4,6.6,2.7,2.7,19.1,62.5,14.4,47.2,23.4,50.4,7.8,"Updated_literature","BoW","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus orientalis",1,1,0,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-666F9FC9",5,2,3,0,4,12.1,6.2,2.4,2.4,17.6,66.7,15.7,51.7,23.3,51.4,8.5,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus plumbeitarsus",0,0,0,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-38C788AE",4,2,2,0,4,12.2,6.4,3,2.7,16.8,58.4,11.9,46.5,20.4,47.5,8.6,"Updated_literature","Dunning (2021)","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus proregulus",0,0,0,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-943E36CA",5,2,3,0,4,9.7,4.7,2.5,2.2,16.4,51.2,9.7,41.8,18.9,38.2,6,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus pulcher",0,0,0,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-56F0521E",5,2,3,0,4,10.7,5.5,2.3,2.1,18.5,58.8,8.2,50.8,14.2,40,6.8,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Invertivore","Insessorial"
"Phylloscopus schwarzi",0,1,0,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-9A536399",5,2,3,0,4,12.2,6.4,2.9,3.1,21.3,63.2,11.2,50.5,18.1,50.2,11.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus sindianus",0,1,0,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-F05BA180",5,2,3,0,4,10.9,5.5,2.2,2.1,17.9,53.4,8.3,43.7,15.9,44.4,7.5,"Dunning","NA","NO","NA","NA","Forest",3,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus subviridis",0,0,1,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-3827F740",5,2,3,0,4,10.5,5.6,2.4,2,17,54.1,8.4,44.5,15.9,42.8,5.5,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Invertivore","Insessorial"
"Phylloscopus tenellipes",0,0,0,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-D0FA2385",4,2,2,0,4,12.2,6.6,2.7,2.9,17.5,59.9,13.8,46.1,23,49.5,11.8,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus trochiloides",0,0,1,1,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-23EF1BD9",12,4,8,0,8,11.3,6.4,3,2.6,18.7,61.3,12.2,49,19.9,48.4,8.1,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus trochilus",1,1,0,1,0,0,1,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-88F4B969",28,14,13,1,7,12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial"
"Phylloscopus umbrovirens",0,1,0,0,0,0,0,0,0,0,"Phylloscopidae","Passeriformes","AVIBASE-E22B8495",9,4,5,0,4,12.4,5.6,2.5,2.4,20,56.2,6.4,50.3,11.3,45,8.6,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Invertivore","Insessorial"
"Phytotoma rara",0,0,0,0,0,0,0,0,1,0,"Cotingidae","Passeriformes","AVIBASE-D0CCD452",5,2,3,0,4,17.6,10.2,7.7,8.6,24.4,88.9,15.1,73,17.1,79.6,47,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Herbivore terrestrial","Insessorial"
"Phytotoma rutila",0,0,0,0,0,0,0,0,1,0,"Cotingidae","Passeriformes","AVIBASE-D4C50D3B",5,2,3,0,4,15.5,8.8,6.4,7.1,22.2,86.5,14.7,72,16.9,90.6,40.5,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Herbivore terrestrial","Insessorial"
"Pica asirensis",0,1,0,0,0,0,0,0,0,0,"Corvidae","Passeriformes","AVIBASE-381534F5",0,0,0,0,0,40.8,26.1,12.3,14.3,47.2,193.3,42.9,150.4,22.2,242.1,200,"Updated_literature","Dunning (2021)","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Pica pica","Human Modified",3,"1","Omnivore","Omnivore","Terrestrial"
"Pica hudsonia",0,0,0,0,0,1,0,0,0,0,"Corvidae","Passeriformes","AVIBASE-640D71AA",10,2,8,0,4,38.6,24.7,11.1,12.9,47.7,202.8,49.6,152.1,24.6,262,177.1,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Omnivore","Omnivore","Terrestrial"
