"Species2","Sahara","Arabian","Thar","Gobi","Chihuahuan","Great_Basin","Kalahari","Atacama","Patagonian","Great_Australian","Family2","Order2","Avibase.ID2","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
"Acanthagenys rufogularis",0,0,0,0,0,0,0,0,0,1,"Meliphagidae","Passeriformes","AVIBASE-BFB1C22E",17,5,12,0,4,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,47.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Insessorial"
"Acanthis flammea",0,0,0,1,0,1,0,0,0,0,"Fringillidae","Passeriformes","AVIBASE-A2BB98A9",1,0,1,0,0,11.4,7.8,4.5,6.5,15.6,75.5,23.5,52,31.1,58.7,13,"Dunning","NA","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Tail Length","Acanthis flammea (sensu lato)","Forest",1,"2","Herbivore","Granivore","Generalist"
"Acanthiza apicalis",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-4413633D",20,8,12,0,4,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,7.6,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Acanthiza chrysorrhoa",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-B1B0E343",13,5,8,0,4,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,9.3,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Terrestrial"
"Acanthiza iredalei",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-D6ACB361",13,5,8,0,4,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,6,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Generalist"
"Acanthiza robustirostris",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-4D64891A",10,5,5,0,4,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,15.2,40.2,6.1,"Dunning","NA","NO","NA","NA","Woodland",2,"2","Carnivore","Invertivore","Insessorial"
"Acanthiza uropygialis",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-27F7E242",12,5,7,0,4,10.2,5.3,2,2.3,18,51.8,7.9,44.6,15,38.3,6.4,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Accipiter badius",1,1,1,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Vertivore","Insessorial"
"Accipiter brevipes",1,1,0,0,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-8492E4B7",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Vertivore","Generalist"
"Accipiter cirrocephalus",0,0,0,0,0,0,0,0,0,1,"Accipitridae","Accipitriformes","AVIBASE-21957C95",5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,"Dunning","NA","NO","NA","NA","Forest",1,"2","Carnivore","Vertivore","Generalist"
"Accipiter cooperii",0,0,0,0,1,1,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-EB98812F",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Vertivore","Aerial"
"Accipiter fasciatus",0,0,0,0,0,0,0,0,0,1,"Accipitridae","Accipitriformes","AVIBASE-8257AE54",11,8,3,0,9,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Vertivore","Generalist"
"Accipiter gentilis",1,1,0,1,1,1,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-420850D6",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning","NA","NO","NA","NA","Forest",1,"2","Carnivore","Vertivore","Generalist"
"Accipiter gularis",0,0,0,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-797C9090",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Vertivore","Insessorial"
"Accipiter minullus",0,0,0,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-CE1CF6FD",5,3,2,0,5,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Vertivore","Generalist"
"Accipiter nisus",1,1,1,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-DB376A66",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Dunning","NA","NO","NA","NA","Forest",1,"2","Carnivore","Vertivore","Insessorial"
"Accipiter ovampensis",1,0,0,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-BAE91683",5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Vertivore","Aerial"
"Accipiter striatus",0,0,0,0,1,1,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-3B024163",20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Vertivore","Aerial"
"Acridotheres cristatellus",0,1,0,0,0,0,0,0,0,0,"Sturnidae","Passeriformes","AVIBASE-65BCBB64",11,2,8,1,9,27.1,15.7,6.1,8.1,38.1,134,32.1,101.5,24.1,81.2,116.3,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Generalist"
"Acridotheres fuscus",0,1,0,0,0,0,0,0,0,0,"Sturnidae","Passeriformes","AVIBASE-8724C64A",5,1,2,2,4,27.2,16.1,6.6,7.3,36.5,123.6,30.7,93.6,24.7,74.9,82.8,"Dunning","NA","NO","NA","NA","Woodland",2,"2","Omnivore","Omnivore","Insessorial"
"Acridotheres ginginianus",0,1,1,0,0,0,0,0,0,0,"Sturnidae","Passeriformes","AVIBASE-F8CFF92C",6,1,1,4,4,24.4,14.2,5.5,6.7,34.2,120.2,29.1,90.5,24.3,77.5,72,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Generalist"
"Acridotheres tristis",0,1,1,0,0,0,1,0,0,0,"Sturnidae","Passeriformes","AVIBASE-F23A2F38",12,2,9,1,10,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.4,"Dunning","NA","NO","NA","NA","Human Modified",3,"2","Carnivore","Omnivore","Terrestrial"
"Acrocephalus agricola",0,1,1,1,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-781FE53F",5,2,3,0,4,13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,18.4,54.9,9.6,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus australis",0,0,0,0,0,0,0,0,0,1,"Acrocephalidae","Passeriformes","AVIBASE-9597E0CA",8,4,4,0,4,19.8,10.6,3.8,4,23.8,71.5,16.3,55,22.9,67.1,17.7,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus bistrigiceps",0,0,0,1,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-1DB9A114",5,2,3,0,4,13.4,7.7,3,2.6,20.1,52.7,11.4,40.7,21.9,50.4,8.7,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus dumetorum",0,1,1,1,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-B22EAFC8",10,3,5,2,4,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,"Dunning","NA","NO","NA","NA","Wetland",2,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus gracilirostris",0,0,0,0,0,0,1,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-4AA7817D",5,2,3,0,4,17.8,9.9,3.5,3.5,23.5,64.7,7.9,55,12.6,59.3,14.4,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Invertivore","Insessorial"
"Acrocephalus griseldis",1,1,0,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-0D42A253",5,2,3,0,4,21.2,12.9,4,3.8,24.2,79.9,23.2,56.4,29.2,64,16.7,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus melanopogon",1,1,1,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-E1559C49",13,5,8,0,4,12.7,7.2,2.6,2.5,19,56.7,10.9,45.8,19.3,47.8,10.9,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus orientalis",0,0,0,1,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-9A6953ED",5,2,2,1,4,20.8,12.9,4.6,4.8,26.5,79,16.4,62,20.9,69.2,23.5,"Updated_literature","Dunning (2021)","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus paludicola",1,0,0,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-C15141A6",5,2,3,0,4,12.3,7,2.6,2.9,19.4,62.1,17.7,44.4,28.4,47.2,11.6,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus palustris",1,1,0,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-B675E006",17,6,11,0,4,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,27.9,56.5,11.5,"Dunning","NA","NO","NA","NA","Shrubland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus schoenobaenus",1,1,0,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-FED5AED5",17,8,9,0,4,14.9,8.2,2.9,2.8,20.9,65.4,18.4,46.9,28.2,48.9,11.8,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus scirpaceus",1,1,0,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-464D1419",17,6,11,0,4,17.4,8.8,3.4,2.8,21.7,67.1,17.4,49.9,25.8,52.2,12.3,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Insessorial"
"Acrocephalus stentoreus",1,1,1,0,0,0,0,0,0,0,"Acrocephalidae","Passeriformes","AVIBASE-D793DF5A",13,2,11,0,12,24.6,14.7,4.4,4.6,27.3,80.1,18.2,62.1,22.6,74.5,24.2,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Invertivore","Insessorial"
"Acryllium vulturinum",0,1,0,0,0,0,0,0,0,0,"Numididae","Galliformes","AVIBASE-F7A3FA35",7,3,4,0,4,39.7,27,15.4,16.1,94.2,300.1,59.6,238,19.9,273.4,1330,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Omnivore","Terrestrial"
"Actitis hypoleucos",1,1,1,1,0,0,1,0,0,1,"Scolopacidae","Charadriiformes","AVIBASE-8548B07E",11,2,3,6,4,30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Terrestrial"
"Actitis macularius",0,0,0,0,1,1,0,1,0,0,"Scolopacidae","Charadriiformes","AVIBASE-0D88C072",5,3,2,0,4,25.7,16.2,2.7,3.3,24.2,100.4,47.6,52.6,47.5,53,40.4,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Terrestrial"
"Actophilornis africanus",1,0,0,0,0,0,1,0,0,0,"Jacanidae","Charadriiformes","AVIBASE-D16D486D",5,2,3,0,4,37.1,19.8,4.6,6.3,65.7,156,46.5,109.2,29.9,47,189.1,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial"
"Aechmophorus clarkii",0,0,0,0,1,1,0,0,0,0,"Podicipedidae","Podicipediformes","AVIBASE-D05FFEF7",5,1,3,1,4,77.9,58.8,7.5,11.6,76.6,195.4,79.8,111.7,41.8,34,1090.9,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aquatic"
"Aechmophorus occidentalis",0,0,0,0,1,1,0,0,0,0,"Podicipedidae","Podicipediformes","AVIBASE-C6E1197B",4,0,3,1,4,73.2,54.1,6.6,10.2,71.7,184.5,75.4,109,40.8,29.8,1137,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aquatic"
"Aegithalos caudatus",0,0,0,1,0,0,0,0,0,0,"Aegithalidae","Passeriformes","AVIBASE-547163C2",17,8,9,0,4,7.6,4.2,2.5,3.3,15.9,63.1,14,49.5,22,87.8,8.6,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Invertivore","Insessorial"
"Aegolius acadicus",0,0,0,0,1,1,0,0,0,0,"Strigidae","Strigiformes","AVIBASE-26BA25EF",5,3,2,0,4,18.2,9.9,7,10.5,23.6,135.2,40.2,95,29.8,78,100.7,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Vertivore","Insessorial"
"Aegotheles cristatus",0,0,0,0,0,0,0,0,0,1,"Aegothelidae","Caprimulgiformes","AVIBASE-175A7534",5,2,3,0,4,14,5,4,3.7,23.7,135.8,47,88.8,34.6,121.2,42.8,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Agapornis fischeri",0,1,0,0,0,0,0,0,0,0,"Psittaculidae","Psittaciformes","AVIBASE-E1EE00F7",5,2,3,0,4,18.8,16.6,11,16.7,14.4,93,37.4,55.4,40.4,42.6,48.3,"Dunning","NA","NO","NA","NA","Woodland",3,"1","Herbivore","Granivore","Insessorial"
"Agapornis roseicollis",0,1,0,0,0,0,1,1,0,1,"Psittaculidae","Psittaciformes","AVIBASE-31C03CB8",5,2,3,0,4,19.4,17.2,10.6,17.7,13.4,100.8,41.1,59.9,40.7,45.8,53.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Terrestrial"
"Agelaioides badius",0,0,0,0,0,0,0,0,1,0,"Icteridae","Passeriformes","AVIBASE-F888C888",10,4,5,1,4,18.9,11.6,5,8.4,26.8,93.5,16.9,76.9,18.1,77.9,45.3,"Dunning","NA","NO","NA","NA","Forest",2,"1","Omnivore","Omnivore","Terrestrial"
"Agelaius phoeniceus",0,0,0,0,1,1,0,0,0,0,"Icteridae","Passeriformes","AVIBASE-C86D078E",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Herbivore","Granivore","Generalist"
"Agelasticus thilius",0,0,0,0,0,0,0,0,1,0,"Icteridae","Passeriformes","AVIBASE-11755EFA",5,2,3,0,4,23,15.5,4.6,7.1,26.4,93.4,16.8,75.2,18.3,75.4,31.5,"Dunning","NA","NO","NA","NA","Wetland",2,"1","Carnivore","Invertivore","Terrestrial"
"Agriornis lividus",0,0,0,0,0,0,0,0,1,0,"Tyrannidae","Passeriformes","AVIBASE-EBADB6D6",8,4,4,0,4,35.4,19.1,7.1,7.6,38,127.7,27.5,100.2,21.5,105.4,99.1,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Vertivore","Insessorial"
"Agriornis micropterus",0,0,0,0,0,0,0,1,1,0,"Tyrannidae","Passeriformes","AVIBASE-64FD388A",8,3,4,1,4,32.8,17.6,6.3,7.1,33.8,118.9,29.2,89.7,24.5,99.6,67.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Carnivore","Vertivore","Insessorial"
"Agriornis montanus",0,0,0,0,0,0,0,1,1,0,"Tyrannidae","Passeriformes","AVIBASE-78427CA9",9,2,6,1,3,30.4,17.4,5.8,5.7,33.1,131.3,33,98.2,25.1,98.2,63.3,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Carnivore","Omnivore","Insessorial"
"Agriornis murinus",0,0,0,0,0,0,0,0,1,0,"Tyrannidae","Passeriformes","AVIBASE-869B1D21",10,6,4,0,4,22.3,11.5,4.7,4.1,27.5,97,23.3,73.7,24,74.2,29.9,"Dunning","NA","NO","NA","NA","Shrubland",3,"3","Carnivore","Vertivore","Insessorial"
"Agropsar sturninus",0,0,0,1,0,0,0,0,0,0,"Sturnidae","Passeriformes","AVIBASE-2FC5C397",5,2,3,0,4,18.2,11.3,5,5.2,25.4,105.6,40.1,65.7,37.9,51.4,49.4,"Dunning","NA","NO","NA","NA","Forest",2,"3","Omnivore","Invertivore","Generalist"
"Aimophila ruficeps",0,0,0,0,1,1,0,0,0,0,"Passerellidae","Passeriformes","AVIBASE-7784B060",4,2,2,0,4,14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.7,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Generalist"
"Aix galericulata",0,1,0,1,1,0,0,0,0,0,"Anatidae","Anseriformes","AVIBASE-E1714A09",5,2,3,0,4,33,20.9,13.5,10.6,34.8,222.2,111.1,110.6,50.1,94.6,567,"Dunning","NA","NO","NA","NA","Forest",3,"3","Herbivore","Herbivore aquatic","Generalist"
"Aix sponsa",0,1,0,0,1,1,0,0,0,0,"Anatidae","Anseriformes","AVIBASE-27B2749A",6,3,3,0,4,38.6,24.7,15.1,11.4,32.9,220.5,108.5,111,49.4,106.8,657.6,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Herbivore","Omnivore","Generalist"
"Alaemon alaudipes",1,1,1,0,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-3E4513D9",5,2,3,0,4,29,19.1,5,5.1,30.8,120.8,33.9,86.9,28,88.8,43.7,"Dunning","NA","NO","NA","NA","Desert",3,"1","Carnivore","Invertivore","Terrestrial"
"Alauda arvensis",1,1,1,1,0,0,0,0,0,1,"Alaudidae","Passeriformes","AVIBASE-ED2AC04E",34,12,22,0,16,14.6,8.8,4.4,4.7,23.6,106.7,36,70.8,33.6,67.6,37.3,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Terrestrial"
"Alauda gulgula",0,1,1,1,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-E988F1D5",11,2,9,0,10,14.8,9.7,4.3,4.6,23.3,86.4,23.7,62.6,27.5,52.2,26.3,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Terrestrial"
"Alaudala cheleensis",0,0,0,1,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-399A4A3E",5,2,3,0,4,11.7,7.2,3.8,4.6,18.4,86.6,24.4,61.8,28.4,63.4,24.1,"DataFromSplit","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Terrestrial"
"Alcedo atthis",1,1,1,1,0,0,0,0,0,0,"Alcedinidae","Coraciiformes","AVIBASE-9505E03D",12,2,4,6,4,42.2,32.5,5.7,7.4,9.9,73.3,19.3,52.6,26.9,32.3,31.1,"Dunning","NA","NO","NA","NA","Riverine",2,"1","Carnivore","Aquatic predator","Insessorial"
"Alectoris barbara",1,1,0,0,0,0,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-D44B2846",5,2,3,0,4,22.6,14.2,8.4,9.5,41.4,163,45.8,115.2,28.5,97.2,416.3,"Dunning","NA","NO","NA","NA","Rock",3,"1","Herbivore","Omnivore","Terrestrial"
"Alectoris chukar",1,1,0,1,1,1,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-87CBEBF7",6,0,2,4,4,21.8,14.1,8,8.6,39.8,153.8,44.9,110.3,29,81.7,502.1,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Herbivore","Granivore","Terrestrial"
"Alectoris melanocephala",0,1,0,0,0,0,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-083811EB",5,2,3,0,3,29.6,19.8,10.6,12,49.6,185.5,46.4,139.6,25.1,116.4,614.8,"Dunning","NA","NO","NA","NA","Forest",2,"1","Herbivore","Herbivore terrestrial","Terrestrial"
"Alectoris philbyi",0,1,0,0,0,0,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-123F3941",5,2,3,0,4,21.3,15.5,8.7,9.8,41.8,161,43.6,115.8,27.4,103.2,441,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Herbivore","Herbivore terrestrial","Terrestrial"
"Alisterus scapularis",0,1,0,0,0,0,0,0,0,0,"Psittaculidae","Psittaciformes","AVIBASE-29DB0309",5,2,3,0,4,26,20.3,13.5,20.2,21.2,210.2,99.5,113.2,46.8,204.4,232.3,"Dunning","NA","NO","NA","NA","Forest",1,"1","Herbivore","Frugivore","Insessorial"
"Alopochen aegyptiaca",1,1,0,0,1,0,1,0,0,0,"Anatidae","Anseriformes","AVIBASE-DA2F24E3",6,3,2,1,4,51.6,30.1,20.8,16.7,75.8,356,143,233.2,38,128.8,1873,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Herbivore","Omnivore","Generalist"
"Amandava amandava",1,1,0,0,0,0,0,0,0,0,"Estrildidae","Passeriformes","AVIBASE-F30FC757",5,2,3,0,4,9.5,6.2,4.1,5.2,12.8,47.4,6.3,40.6,13.5,39.8,9,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Generalist"
"Amandava subflava",1,1,0,0,0,0,0,0,0,0,"Estrildidae","Passeriformes","AVIBASE-ECC40D44",5,2,3,0,4,8.6,6.2,4.2,4.7,11.8,43.4,6.9,36.1,16,34,7.4,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Herbivore","Granivore","Generalist"
"Amaurornis phoenicurus",0,1,1,0,0,0,0,0,0,0,"Rallidae","Gruiformes","AVIBASE-F53518E3",5,2,3,0,4,37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,23.2,57.6,180,"Dunning","NA","NO","NA","NA","Wetland",2,"1","Carnivore","Aquatic predator","Terrestrial"
"Amazilia yucatanensis",0,0,0,0,1,0,0,0,0,0,"Trochilidae","Caprimulgiformes","AVIBASE-76D9954B",5,2,3,0,4,23.7,18.1,2.7,2.2,5.8,54.8,34.3,20.7,62.5,35.2,3.9,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Herbivore","Nectarivore","Aerial"
"Ammomanes cinctura",1,1,0,0,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-20A0844D",11,9,2,0,11,12.5,7.7,4.1,4.4,20.7,89.8,25,64.9,27.7,52.8,18.1,"Dunning","NA","NO","NA","NA","Desert",3,"2","Herbivore","Granivore","Terrestrial"
"Ammomanes deserti",1,1,1,0,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-A977348D",5,2,3,0,4,16.3,10,4.4,5.6,21.4,96.2,23.1,72.7,24.1,64,23.8,"Dunning","NA","NO","NA","NA","Desert",3,"2","Omnivore","Omnivore","Terrestrial"
"Ammomanes phoenicura",0,0,1,0,0,0,0,0,0,0,"Alaudidae","Passeriformes","AVIBASE-0E1F8A50",5,2,3,0,4,14.9,9.4,5.4,6.7,21.7,101,28,72,28,60,25.6,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Omnivore","Terrestrial"
"Ammoperdix griseogularis",0,1,0,0,0,0,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-439AFD40",5,2,3,0,4,15.6,11.1,6.7,6.9,27.6,126.2,42,82,34,53,201.9,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Herbivore","Omnivore","Terrestrial"
"Ammoperdix heyi",1,1,0,0,0,0,0,0,0,0,"Phasianidae","Galliformes","AVIBASE-CD83E49E",5,2,3,0,4,17.5,11.3,6.7,7.2,29.8,123,39.1,82.4,32.2,57.4,189.7,"Dunning","NA","NO","NA","NA","Desert",3,"1","Herbivore","Omnivore","Terrestrial"
"Ammospiza leconteii",0,0,0,0,1,1,0,0,0,0,"Passerellidae","Passeriformes","AVIBASE-B656B15D",6,3,3,0,6,11.2,7.1,4.2,5,17.3,53,10,43.1,18.8,52,13,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Granivore","Generalist"
"Amphispiza bilineata",0,0,0,0,1,1,0,0,0,0,"Passerellidae","Passeriformes","AVIBASE-A0F29F1E",6,2,4,0,6,11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Omnivore","Omnivore","Generalist"
"Amytornis barbatus",0,0,0,0,0,0,0,0,0,1,"Maluridae","Passeriformes","AVIBASE-DF425A48",11,5,6,0,3,13.8,7.6,3.6,4.9,24.1,58.5,5.5,49.7,10,102.9,18.4,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Omnivore","Omnivore","Generalist"
"Amytornis goyderi",0,0,0,0,0,0,0,0,0,1,"Maluridae","Passeriformes","AVIBASE-DEF58D26",9,3,4,2,2,13.6,7.3,3.7,6.1,22.4,57.7,4.1,53.4,7.1,77.5,16.7,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Omnivore","Granivore","Terrestrial"
"Amytornis purnelli",0,0,0,0,0,0,0,0,0,1,"Maluridae","Passeriformes","AVIBASE-0E798C7D",14,5,9,0,8,16.6,8.3,3.3,4.3,24.5,61,3.8,56.2,6.3,78.7,21,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Terrestrial"
"Amytornis textilis",0,0,0,0,0,0,0,0,0,1,"Maluridae","Passeriformes","AVIBASE-7157DFC1",11,2,9,0,4,13.9,6.9,3.6,4.7,25.1,64.5,6.1,57.4,9.6,90.3,23,"Dunning","NA","NO","NA","NA","Grassland",2,"1","Omnivore","Omnivore","Generalist"
"Amytornis whitei",0,0,0,0,0,0,0,0,0,1,"Maluridae","Passeriformes","AVIBASE-45F853E2",0,0,0,0,0,15.1,8,3,3.9,25.3,59.5,4.6,56.2,7.5,82,19.6,"Inferred","NA","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass","Amytornis striatus","Grassland",2,"1","Omnivore","Omnivore","Terrestrial"
"Anhinga anhinga",0,0,0,0,1,0,0,0,0,0,"Anhingidae","Suliformes","AVIBASE-FBDAE86A",9,6,3,0,4,85.6,78.8,11.1,14.7,39,339.6,66.6,273,19.6,267.2,1235,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Aquatic"
